"study_id","overall_rob","qarel_yes_count","qarel_total","Q1","Q2","Q3","Q4","Q5","Q6","Q7"
"Herms_2023","Moderate","2","5","Unclear","Unclear","Unclear","Unclear","Unclear","Yes","Yes"
"Ignee_2010","Moderate","3","5","No","No","Unclear","Yes","N/A","Yes","Unclear"
"Israel_2004","Moderate","3","5","Unclear","Yes","No","Unclear","No","Yes","Unclear"
"Jin_2024","Moderate","5","7","Unclear","Yes","Yes","Unclear","Yes","Yes","Yes"
"Jin_2026","Moderate","5","6","Unclear","Yes","Yes","Unclear","N/A","Yes","Yes"
"Járay_2023","Moderate","4","5","Unclear","Yes","No","Unclear","No","Unclear","Yes"
"Kang_2022","Moderate","2","6","No","Unclear","Yes","Unclear","Yes","Yes","Yes"
"Kang_2024","Moderate","5","6","No","Yes","Yes","Unclear","N/A","Yes","Yes"
"Kang_2025","Low","6","6","Unclear","Yes","Yes","Yes","Yes","Yes","Yes"
"Karmazyn_2015","Low","6","6","Yes","Yes","Yes","Yes","N/A","Yes","Yes"
"Kim_2010","Low","6","6","No","Yes","Yes","Unclear","N/A","Yes","Yes"
"Lee_2020","Low","6","6","Unclear","Yes","Yes","Unclear","Yes","Yes","Yes"
"Lerchbaumer_2020","Moderate","4","5","Yes","Yes","N/A","Unclear","N/A","Unclear","Yes"
"Lucocq_2020","Moderate","2","5","Unclear","Unclear","Unclear","Unclear","N/A","Unclear","Yes"
"Lucocq_2021","Moderate","3","6","Yes","Unclear","Unclear","Unclear","N/A","Unclear","Yes"
"Lucocq_2024","Moderate","5","6","No","Yes","Unclear","Unclear","Yes","Yes","Yes"
"Mu_2019","Low","5","5","Yes","Yes","Yes","Unclear","N/A","Yes","Yes"
"Münch_2024","Low","7","7","No","Yes","Yes","Yes","No","Yes","Yes"
"Oon_2018","Moderate","2","5","Unclear","Unclear","N/A","Unclear","N/A","Yes","Unclear"
"Osman_2021","Moderate","6","7","No","Yes","Yes","Unclear","Yes","Yes","Yes"
"Pacheco_2020","Moderate","5","7","No","Yes","Yes","Unclear","Yes","Yes","Yes"
"Park_2007","Moderate","3","5","No","Yes","No","Yes","No","Yes","Unclear"
"Park_2021","Low","5","6","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Peard_2022","Moderate","2","5","No","Unclear","N/A","Unclear","Unclear","Yes","Yes"
"Peng_2010","Low","6","6","No","Yes","Yes","Yes","N/A","Yes","Yes"
"Pitra_2018","Moderate","5","6","Unclear","Unclear","Yes","Unclear","N/A","Yes","Yes"
"Ragel_2016","Moderate","5","6","Yes","Yes","Yes","Unclear","N/A","Yes","Yes"
"Reizine_2024","Moderate","3","5","Yes","Yes","No","Unclear","Yes","Yes","Unclear"
"Rocca_2016","Moderate","1","5","Unclear","Unclear","Yes","Unclear","Unclear","Unclear","Unclear"
"Rosenkrantz_2014","Low","5","6","Unclear","Yes","Yes","Yes","No","Yes","Yes"
"Sanz_2016","Moderate","3","5","Yes","Unclear","N/A","Unclear","Unclear","Unclear","Yes"
"Sebastià_2026","Moderate","4","6","No","Yes","Yes","Unclear","Unclear","Yes","Yes"
"Seppala_2014","Low","6","6","Yes","Yes","Yes","Yes","N/A","Yes","Yes"
"Shaish_2019","Low","6","6","Unclear","Yes","Yes","Unclear","N/A","Yes","Yes"
"Shampain_2022","Low","5","6","Unclear","Yes","Yes","Yes","Yes","Yes","Yes"
"Siegel_1997","Moderate","4","6","No","Unclear","Yes","Yes","N/A","Yes","Yes"
"Sun_2023","Moderate","5","6","Yes","Yes","Yes","Unclear","Yes","Yes","Yes"
"Tse_2020","Low","6","6","No","Yes","Yes","Yes","N/A","Yes","Yes"
"Tse_2021_a","Low","6","6","No","Yes","Yes","Yes","N/A","Yes","Yes"
"Tse_2021_b","Low","5","6","Unclear","Yes","Yes","Yes","Unclear","Yes","Yes"
"Tse_2022","Low","7","7","Yes","Yes","Yes","Unclear","Yes","Yes","Yes"
"Tshering_Vogel_2021","Low","5","5","Yes","Yes","N/A","Yes","N/A","Yes","Yes"
"Urraro_2026","Moderate","6","7","Unclear","Yes","Yes","Unclear","Unclear","Yes","Yes"
"Verzotti_2019","Moderate","3","6","Unclear","No","Yes","Unclear","Unclear","Unclear","Yes"
"Walmer_2023","Moderate","4","6","Unclear","Yes","Yes","Yes","N/A","Yes","Unclear"
"Yan_2021","Low","5","6","No","Yes","Yes","Yes","N/A","Yes","Yes"
"Yenice_2020","Low","6","6","Unclear","Unclear","Yes","Yes","Yes","Unclear","Yes"
"Zhong_2017","Moderate","4","5","Unclear","Yes","No","Unclear","Unclear","Yes","Yes"
