study_id,first_author,year,title,journal,doi,publication_type,country,study_design,enrollment_start,enrollment_end,setting,cyst_selection,n_patients,n_cysts,age_value,age_type,male_pct,cyst_size_mean_cm,cyst_size_range,n_bosniak_I,n_bosniak_II,n_bosniak_IIF,n_bosniak_III,n_bosniak_IV,malignancy_rate,reference_standard,bosniak_version,imaging_modalities,ct_detector,ct_contrast_phases,mr_field_strength,mr_sequences,ceus_agent,ceus_MI_reported
Zhong_2017,Zhong,2017,Renal cyst masses (Bosniak category II-III) may be over evaluated by the Bosniak criteria based on MR findings.,Medicine,10.1097/MD.0000000000009361,journal_article,China,retrospective cohort,2012-01,2016-06,"single center, Second Affiliated Hospital, Zhejiang University School of Medicine",Patients with both CT and MR examinations who had surgical treatment with pathological diagnosis OR minimum 3-year follow-up. Excluded: patients with only CT or only MR imaging.,34,35,49,mean,29.4,,,,,,,,,"surgical pathology (n=28) or minimum 3-year imaging follow-up (n=7, range 36-41 months, average 38.57 +/- 1.98 months)",1986,"['CT', 'MRI']",SOMATOM Definition AS 40 or 128 (Siemens),2 phases at 30s and 90s post-injection,3.0T (GE Discovery MR 750) or 1.5T (Siemens Magnetom Avanto),"T1WI dual imaging, T2WI, dynamic contrast-enhanced T1WI",,
Nelson_2019,Nelson,2019,Incidental Renal Lesions on Lumbar Spine MRI: Who Needs Follow-Up?,American Journal of Roentgenology,10.2214/AJR.18.20079,journal_article,United States,Retrospective single-center,,,"San Antonio Military Medical Center, San Antonio, TX","Consecutive patients with renal lesion >=1 cm on lumbar spine MRI completely visualized within FOV, with follow-up/prior cross-sectional imaging available",116,149,56,median,60.3,,,115,20,3,,,,"Dedicated cross-sectional imaging (72 CT, 30 MRI, 38 US) + histology in 9 cases",Original (pre-2019),"['MRI (lumbar spine, T2-weighted only)']",,,1.5T and 3T (multiple scanners),"Axial T2-weighted (TR/TE 5500/100, matrix 290x230, slice 3mm, gap 0mm)",,
Mu_2019,Mu,2019,Superb microvascular imaging is a rational choice for accurate Bosniak classification of renal cystic masses.,The British Journal of Radiology,10.1259/bjr.20181038,journal_article,China,retrospective,2015-01,2017-02,"Tianjin Medical University Cancer Institute and Hospital, single tertiary cancer center",Patients with solitary cystic renal masses,55,55,,mean,70.91,,,,,,,,69.09,"surgical pathology (44 cases) and radiologic follow-up (11 cases: 6 simple cysts at 27-month mean follow-up, 5 complex >=1 year)",2005,"['CDFI', 'SMI', 'CEUS']",,,,,Not specified,
Tse_2020,Tse,2020,Bosniak classification version 2019 of cystic renal masses assessed with MRI.,American Journal of Roentgenology,10.2214/AJR.19.22740,journal_article,USA,retrospective,2005-01,2019-08,"single center, Stanford University School of Medicine",consecutively registered patients >=18 years with cystic renal mass on dedicated contrast-enhanced renal MRI protocol and tissue pathology available,50,59,55,mean,56,4.1,,3,5,4,25,22,64.4,"histopathology (all, core biopsy n=2 or nephrectomy n=57)",original and v2019,['MRI'],,,1.5T or 3T,"coronal and axial T2-weighted breath-hold, axial DWI, in-phase and opposed-phase, T1-weighted fat-saturated unenhanced and contrast-enhanced at 18s, 1min, 2min, 4min (LAVA Flex/VIBE Dixon/mDIXON), gadobutrol 0.1 mL/kg",,
Frumer_2021,Frumer,2021,The Modified Bosniak Classification for Intermediate-Risk Renal Cysts in Children.,Urology,10.1016/j.urology.2020.10.022,journal_article,Israel,retrospective,,,,,7,7,1.5,median,42.9,,,,,,,,,histopathology (all surgically excised),modified Bosniak for pediatrics,"US, CECT, MRI",,,,,,
Tse_2021_a,Tse,2021,"Prevalence of malignancy and histopathological association of bosniak classification, version 2019 class III and IV cystic renal masses.",The Journal of Urology,10.1097/JU.0000000000001438,journal_article,USA,"retrospective, single-center",,,"Stanford University Hospital (academic, tertiary)",Cystic renal masses with tissue pathology and preoperative renal mass protocol CT or MRI; preoperative diagnosis of Bosniak III or IV; search terms in radiology reports,74,79,57,mean_sd,55.4,4.4,,0,0,0,,,74.7,Surgical pathology (radical or partial nephrectomy),v2019 and original (prior),"['CT', 'MRI']",,"pre-contrast, corticomedullary, nephrographic, excretory",,,,
Peng_2010,Peng,2010,Assessment of cystic renal masses in children: comparison of multislice computed tomography and ultrasound imaging using the Bosniak classification system.,European Journal of Radiology,10.1016/j.ejrad.2010.05.035,journal_article,China,"retrospective, single-center",2006-01,2009-01,"Beijing Children's Hospital, Capital Medical University",Consecutive pediatric patients with cystic renal masses considered indeterminate or likely malignant; underwent surgery,22,24,2.4,mean years (range 1 month to 5.2 years),,,,2,,,,,70.8,surgical pathology,modified Bosniak for pediatric (Wallis 2008),"['CECT', 'US']","64-MDCT (LightSpeed VCT, GE)","unenhanced, corticomedullary (15-18s), parenchymal (55-70s); iodinated contrast 300 mg I/mL at 1.5-2.0 mL/kg",,,,
Chandrasekar_2023,Chandrasekar,2023,Volumetric Quantitative Contrast-enhanced Ultrasonography Evaluation of Complex Renal Cysts: An Adjunctive Metric to the Bosniak Classification System to Predict Malignancy.,European urology focus,10.1016/j.euf.2022.10.004,journal_article,USA,prospective,,,,,20,20,58.9,mean,50,4.1,1.2-8.3 cm,0,0,2,1,17,85,surgical pathology,both,"CT/MRI (pre-2019 and 2019), CEUS (2D and 3D)",,,,,,
McGrath_2022,McGrath,2022,Direct Comparison of Diagnostic Accuracy of Fast Kilovoltage Switching Dual-Energy Computed Tomography and Magnetic Resonance Imaging for Detection of Enhancement in Renal Masses.,Journal of Computer Assisted Tomography,10.1097/RCT.0000000000001361,journal_article,Canada,Retrospective,,,,"24 patients with 41 renal masses (17 solid, 24 Bosniak 1/2 cysts)",24,24,,,,,,,,,,,,,Not specified,"['DECT', 'MRI']",Fast kilovoltage switching dual-energy CT,,,,,
Dana_2023,Dana,2023,CT-based Bosniak classification of cystic renal lesions: is version 2019 an improvement on version 2005?,European Radiology,10.1007/s00330-022-09082-x,journal_article,Canada,retrospective,2005,2018,"single institution, McGill University Health Center, Montreal, QC, tertiary care center","adult patients with CRL on CE-CT; balanced inclusion across Bosniak categories (all III/IV included, I/II/IIF included consecutively in reverse chronological order); excluded: <1cm, polycystic conditions, prior interventions, incomplete protocol",139,149,65,median_IQR,66.9,,,,,,,,0.221,"histopathology (39/149, 26%) or imaging follow-up minimum 4 years (median 7 years, extended to 5 years for multilocular CRL)",v2005 AND v2019,['CT'],,"['corticomedullary (40-55s)', 'nephrographic (90-120s)', 'excretory (~8 min)']",,,,
Herms_2023,Herms,2023,"Ultrasound-based ""CEUS-Bosniak""classification for cystic renal lesions: an 8-year clinical experience.",World Journal of Urology,10.1007/s00345-022-04094-0,journal_article,Germany,retrospective,2013-08,2021-08,"University Hospital MRI-TUM (München Rechts Der Isar), Munich, Germany (single center)","Patients with CEUS-Bosniak IIF/III/IV cystic renal lesions; 247 patients with 262 lesions identified, 146 patients with 156 lesions met inclusion criteria",146,156,59,median,66.4,,,0,0,67,44,45,,"Histopathology (n=55 surgically resected) or follow-up US (n=105, median 1.1-2.1 years)",CEUS-Bosniak based on 2020 European proposal (EFSUMB); CT/MRI-Bosniak (version not specified),"['CEUS', 'CT', 'MRI']",,,,,"SonoVue (sulfur hexafluoride, Bracco)",
Almalki_2023,Almalki,2023,Bosniak classification version 2019: a prospective comparison of CT and MRI.,European Radiology,10.1007/s00330-022-09044-3,journal_article,Egypt/Saudi Arabia,prospective,2019-08,2022-02,multicenter,consecutive,63,67,49.5,mean,54,6.59,3.1-10.8 cm,,,,,,68.3,"histopathology (surgery 48, core biopsy 4, FNAB 8)",2019,"['CT', 'MRI']","64- or 128-MDCT (Philips, Siemens, Toshiba)",multiphasic renal mass protocol,1.5T,"GE Optima 450 GEM, Philips Achieva, Siemens Magnetom Avanto; phased-array torso coil",,
Tse_2022,Tse,2022,"Nyquist sampling theorem and Bosniak classification, version 2019: effect of thin axial sections on categorization and agreement.",European Radiology,10.1007/s00330-022-08876-3,journal_article,USA,"retrospective, single-center",2015,2021,Stanford University (academic),"Consecutive adults referred for cystic renal mass evaluation via renal mass protocol CT; excluded subcentimeter, solid (>25% enhancing), SOC-only images",100,131,63,mean_sd,71,4.4,1.1-13.6,31,65,6,13,16,,Pathology in 19/131 (14.5%); majority followed clinically,v2019,['CT'],"multidetector (GE, Siemens)","non-contrast, corticomedullary, nephrographic, excretory",,,,
Arita_2022,Arita,2022,Clinical utility of the Bosniak classification version 2019: Diagnostic value of adding magnetic resonance imaging to computed tomography examination.,European Journal of Radiology,10.1016/j.ejrad.2022.110163,journal_article,Japan,retrospective,2010-08,2016-01,,,83,103,59,median,67.5,2.54,0.9-16.0 cm,,,,,,27.2,histopathology (n=35) or clinical/imaging follow-up >=60 months (n=68),2019,"CT, MRI (CT alone and combined CT/MRI)",,,,,,
Peard_2022,Peard,2022,"Validation of the modified Bosniak classification system to risk stratify pediatric cystic renal masses: An international, multi-site study from the pediatric urologic oncology working group of the societies for pediatric urology.",Journal of Pediatric Urology,10.1016/j.jpurol.2021.12.001,journal_article,International (USA and Belgium),"retrospective, multi-center (5 institutions)",2000,2019,"Pediatric centers: Cincinnati Children's Hospital, Ghent University Hospital, Children's Hospital of Colorado, Nationwide Children's Hospital, Kentucky Children's Hospital",Pediatric patients <18 who underwent surgery for renal mass; excluded without pathology or imaging; excluded masses without cystic component >1 cm,99,99,45,median months (IQR 15-109),37.4,,,25,15,,15,44,37.4,"surgical pathology (nephrectomy, partial nephrectomy, cyst decortication, biopsy)","modified Bosniak (mBosniak) for pediatric (4 categories: 1-4, no IIF)","['US', 'CT', 'MRI']",,93.8% with contrast,,93.1% with contrast,,
Shampain_2022,Shampain,2022,Interrater agreement of bosniak classification version 2019 and version 2005 for cystic renal masses at CT and MRI.,Radiology,10.1148/radiol.2021210853,journal_article,USA,retrospective blinded agreement study,2006-01-01,2019-01-14,"single center, Michigan Medicine (academic medical center)","195 cystic masses (95 CT, 100 MRI) in 185 patients",185,195,63,mean,64,,,,,,,,,none (study explicitly states cannot comment on diagnostic accuracy),v2005 and v2019,"['CT', 'MRI']",not specified,"with and without contrast, including at least nephrographic phase",not specified,"with and without contrast, including at least nephrographic phase",,
Como_2021,Como,2021,Role of contrast-enhanced ultrasound in assessing indeterminate renal lesions and Bosniak ≥2F complex renal cysts found incidentally on CT or MRI.,The British Journal of Radiology,10.1259/bjr.20210707,journal_article,Italy,retrospective cohort,2016-02,2019-10,"University Hospital S. Maria della Misericordia, Udine (single center)",patients referred for CEUS evaluation of indeterminate renal lesions and Bosniak >=2F complex renal cysts found incidentally on CT or MRI,44,48,68.1,mean,75,,,,,,,,0.923,"histopathology (26 lesions) or imaging follow-up >=24 months stability (median 27 months, range 24-39 months)",modified Bosniak (categories 0-5 for CEUS per EFSUMB-adapted scheme),"['CT', 'MRI', 'CEUS']",">=16-row scanner, slice <=2.5mm","['unenhanced', 'late arterial', 'portal venous', 'delayed 3-5 min']",>=1.5T,"['T1 in-phase/out-of-phase', 'fat-suppressed T2', 'DWI']","SonoVue (sulfur hexafluoride, Bracco), 2.4 ml",0.12
Chan_2021,Chan,2021,Comparison of Bosniak Classification of cystic renal masses version 2019 assessed by CT and MRI.,Abdominal Radiology (New York),10.1007/s00261-021-03236-z,journal_article,Canada,retrospective cross-sectional,2009,2019,"single institution (The Ottawa Hospital, University of Ottawa)","consecutively identified cystic (<=25% enhancing) masses imaged by both CT and MRI; 35 with histologic diagnosis, 30 Bosniak v2019 Class 2/2F with minimum 5-year stability",65,65,63,mean_sd,66.2,3.84,0.7-14.6,,,,,,0.385,"histopathology (35 masses: 31 nephrectomy, 4 core biopsy) or minimum 5-year imaging stability (30 Class 2/2F masses)",original AND v2019,"['CT', 'MRI']",multi-detector 16-256 channel,['renal mass protocol (details in supplementary)'],1.5T and 3T,renal mass MRI protocol (details in supplementary),,
Audenet_2022,Audenet,2022,Using Contrast-Enhanced Ultrasound in Addition to Cross-Sectional Imaging for Indeterminate Renal Cysts May Lead to Overclassification in Bosniak III Category: A Case-Control Study.,European Surgical Research,10.1159/000517405,journal_article,France,retrospective,2008-01,2018-01,single_center,consecutive,52,52,,,,,,0,0,0,52,0,36.5,surgical pathology,unclear,"['CT', 'MRI', 'CEUS']",,,,,,
Osman_2021,Osman,2021,Inter-observer and intra-observer agreement of Bosniak classification of cystic renal masses: Comparison between original version to version 2019 and effect of an online support calculator.,Canadian Urological Association Journal,10.5489/cuaj.7369,journal_article,Canada,Retrospective cross-sectional reader agreement study,2010,2020,"The Ottawa Hospital, University of Ottawa (with University Health Network participation)","103 cystic renal masses: 73 pathologically confirmed (80.8% malignant), 30 Bosniak 2/2F with >=5 years imaging stability",,103,,,,,,,,,,,80.8,Pathological diagnosis (73/103) + >=5 years imaging stability (30/103),Both Original (v2005) and v2019 compared,"['CT', 'MRI']",,Renal protocol CT,,,,
Park_2021,Park,2021,"Bosniak classification of cystic renal masses version 2019: comparison with version 2005 for class distribution, diagnostic performance, and interreader agreement using CT and MRI.",American Journal of Roentgenology,10.2214/AJR.21.25796,journal_article,South Korea,"retrospective, single-center",2010-01,2019-12,"Asan Medical Center, University of Ulsan College of Medicine, Seoul","MRI reports containing Bosniak/cystic mass terms with class II-IV; excluded polycystic kidney disease, not true CRM, abscess/calyceal diverticulum, von Hippel-Lindau, no nephrectomy, >1 year between imaging and surgery",100,104,52.4,mean +/- SD (11.6),68,3.5,,0,,,,,71.2,surgical pathology (partial or radical nephrectomy),both version 2005 and version 2019,"['CT', 'MRI']","16- or 64-MDCT (LightSpeed 16 or Optima CT660, GE; Somatom Sensation 16, Siemens)",multiphase (100 mL iopamidol Iopamiro 370 at 2-3 mL/s),"1.5 T (Avanto, Siemens; Achieva, Philips) or 3 T (Ingenia, Philips; Skyra, Siemens)","T2w, fat-suppressed T2w, DWI, dual-echo in-phase/opposed-phase T1w, multiphase contrast-enhanced T1w with gadolinium-based agent",,
Yan_2021,Yan,2021,Bosniak Classification version 2019: validation and comparison to original classification in pathologically confirmed cystic masses.,European Radiology,10.1007/s00330-021-08006-5,journal_article,Canada,"retrospective, single-center",2009,2019,"The Ottawa Hospital, University of Ottawa (academic, single referral center)","Cystic renal masses (<=25% solid) with histological confirmation; PACS search for 'Bosniak IIF/2F, Bosniak 3/III and 4/IV'; excluded if solid >25%, genetic syndrome, incomplete imaging",73,73,60,mean_sd,61.6,4.5,0.8-16.0,0,2,15,28,28,78.1,"Nephrectomy 83.6% (61/73), 18-gauge core-needle biopsy 16.4% (12/73). Pathology confirmed by genitourinary pathologist.",v2019 and original,"['CT', 'MRI']",multi-detector (16-256 channel),renal mass protocol CT (institutional protocol in supplementary),1.5T and 3T,renal mass MRI protocol (institutional protocol in supplementary),,
Tshering_Vogel_2021,Tshering Vogel,2021,Prospective Comparison of Contrast-Enhanced Ultrasound and Magnetic Resonance Imaging to Computer Tomography for the Evaluation of Complex Cystic Renal Lesions.,Urology,10.1016/j.urology.2021.04.032,journal_article,Switzerland,prospective,,,,,48,65,63,median,62.5,,1-11 cm,5,31,7,5,17,,CT as reference standard; histopathology for surgical cases,2005,"CT, MRI, CEUS",,,,,,
Elbanna_2021,Elbanna,2021,The added value of contrast-enhanced ultrasound in evaluation of indeterminate small solid renal masses and risk stratification of cystic renal lesions.,European Radiology,10.1007/s00330-021-07964-0,journal_article,Canada,retrospective,2009,2018,"single institution, University Health Network / Toronto General Hospital","pathology-proven CRMs and sSRMs (without definite enhancement or macroscopic fat on CT/MRI), and CRMs with >=18 months follow-up, that had CEUS examinations",237,80,61.3,mean (cystic lesion subgroup),64.6,3.5,1.0-12.0,,,8,3,8,,histopathology (biopsy or surgical specimen) and/or imaging follow-up >=18 months,v2019 (proposed),"['CEUS', 'CT', 'MRI']","64-MDCT (Aquilion 64, Canon)","['unenhanced', 'corticomedullary (30s)', 'nephrographic (100s)']",1.5T,"['T2W', 'T1W in/opposed-phase GRE', 'unenhanced and contrast-enhanced fat-saturated 3D T1W GRE']",Definity (Lantheus),0.06
Bai_2020,Bai,2020,"MRI-based Bosniak Classification of Cystic Renal Masses, Version 2019: Interobserver Agreement, Impact of Readers' Experience, and Diagnostic Performance.",Radiology,10.1148/radiol.2020200478,journal_article,China,retrospective,2009-01,2018-12,,,207,207,49,mean,67.1,,,33,40,30,77,27,46.4,surgical pathology,both,MRI,,,,,,
Pacheco_2020,Pacheco,2020,Bosniak classification of cystic renal masses version 2019 does not increase the interobserver agreement or the proportion of masses categorized into lower Bosniak classes for non-subspecialized readers on CT or MR.,European Journal of Radiology,10.1016/j.ejrad.2020.109270,journal_article,Brazil,"retrospective, single-center",2019-01,2019-08,"quaternary care center (Hospital Sao Paulo, Universidade Federal de Sao Paulo)",Consecutive search for reports with keyword Bosniak from Jan-Aug 2019; renal mass protocol required; aimed at ~5 cases per BC19 category for homogeneous distribution; artifacts/incomplete protocols excluded,47,50,,,,,,,,,,,,Consensus classification by 2 abdominal radiologists (2 and 6 years experience); disagreement resolved by 3rd radiologist (7 years),both CBC (current/2005) and BC19 (version 2019),"['CT', 'MRI']","64-channel (Brilliance iCT, Philips)","pre-contrast and post-contrast (non-ionic iodinated Iopamiron 300 mg/mL, 1.5 mL/kg at 3 mL/s)","3.0 T (Magnetom Sonata, Siemens)",16-channel phased array body coil; dynamic contrast-enhanced with gadoterate meglumine (Dotarem) 0.1 mmol/kg at 2 mL/s,,
Lee_2020,Lee,2020,Bosniak classification of cystic renal masses: utility of contrastenhanced ultrasound using version 2019.,Medical ultrasonography,10.11152/mu-2517,journal_article,Singapore,retrospective,,,,,54,54,,,,,,,,,,,,,2019,"CEUS, CECT",,,,,,
Lucocq_2021,Lucocq,2021,"Complex renal cysts (Bosniak ≥IIF): interobserver agreement, progression and malignancy rates.",European Radiology,10.1007/s00330-020-07186-w,journal_article,United Kingdom (Scotland),Retrospective population-based cohort,2009-01,2019-12,"Ninewells Hospital and Medical School, Dundee, Scotland; population >416,090",All patients with complex renal cysts (Bosniak >=IIF) in a defined geographical area; excluded patients without triple-phase CT or pathological confirmation,415,452,,,,3.9,0.3-15.0 cm,,,161,79,77,81.3,Histopathology (resection/biopsy for 80 cases); imaging follow-up for remainder,"Original (2005 revision, pre-2019)","['CT', 'MRI']",64-slice CT scanner,"Triphasic: pre-contrast, arterial (40s), nephrographic (100s); 100 mL Omnipaque",Not specified,"T2 HASTE (6mm), T1 VIBE pre/post-contrast (3.5mm), STIR (8mm), DWI (4mm, b=50,400,1000)",,
Tse_2021_b,Tse,2021,Bosniak classification of cystic renal masses version 2019: comparison of categorization using CT and MRI.,American Journal of Roentgenology,10.2214/AJR.20.23656,journal_article,USA,"retrospective, single-center",2005-01,2019-12,"Stanford University Hospital (academic, tertiary)","Consecutive cystic renal masses evaluated by both CT and MRI renal mass protocol within 1 year; search terms 'cystic renal mass', 'cystic renal neoplasm', 'Bosniak'",45,68,62,mean_sd,57.8,2.9,0.9-15,,,,,,30.9,"Pathology in 23/68 (34%): 7 radical nephrectomy, 15 partial nephrectomy, 1 core biopsy. Remainder followed by imaging.",v2019 and original,"['CT', 'MRI']",multi-detector (LightSpeed GE 0.625mm; Somatom Definition Flash Siemens 0.75mm),"unenhanced, delayed arterial (triggered bolus tracking), nephrographic (90-120s), excretory (5-7 min)",1.5T and 3T,"axial and coronal T2-weighted, axial in/opposed phase, DWI, axial T1 fat-sat pre and post contrast at 18s, 1, 2, and 4 min (VIBE Dixon/LAVA Flex/mDIXON)",,
